WAVELENGTH  FLUX_DISK    FLUX_WD    FLUX_SEC       FLUX
  176.4576 7.5430e-13 7.6140e-19  2.6168e-39 7.5430e-13
  177.5028 7.8975e-13 8.6754e-19  4.1063e-39 7.8975e-13
  178.5479 8.2630e-13 9.8680e-19  6.4087e-39 8.2630e-13
  179.5930 8.6397e-13 1.1206e-18  9.9485e-39 8.6397e-13
  180.6381 9.0277e-13 1.2704e-18  1.5363e-38 9.0278e-13
  181.6832 9.4272e-13 1.4380e-18  2.3601e-38 9.4272e-13
  182.7283 9.8381e-13 1.6250e-18  3.6073e-38 9.8381e-13
  183.7734 1.0261e-12 1.8336e-18  5.4863e-38 1.0261e-12
  184.8185 1.0695e-12 2.0658e-18  8.3031e-38 1.0695e-12
  185.8636 1.1141e-12 2.3239e-18  1.2506e-37 1.1141e-12
  186.9087 1.1599e-12 2.6103e-18  1.8747e-37 1.1599e-12
  187.9538 1.2068e-12 2.9279e-18  2.7971e-37 1.2068e-12
  188.9989 1.2550e-12 3.2794e-18  4.1545e-37 1.2550e-12
  190.0440 1.3044e-12 3.6680e-18  6.1427e-37 1.3044e-12
  191.0891 1.3550e-12 4.0970e-18  9.0424e-37 1.3550e-12
  192.1342 1.4068e-12 4.5699e-18  1.3253e-36 1.4068e-12
  193.1793 1.4598e-12 5.0907e-18  1.9341e-36 1.4598e-12
  194.2244 1.5140e-12 5.6635e-18  2.8108e-36 1.5140e-12
  195.2695 1.5695e-12 6.2926e-18  4.0678e-36 1.5695e-12
  196.3146 1.6262e-12 6.9827e-18  5.8632e-36 1.6262e-12
  197.3597 1.6841e-12 7.7389e-18  8.4171e-36 1.6841e-12
  198.4048 1.7432e-12 8.5665e-18  1.2036e-35 1.7432e-12
  199.4499 1.8036e-12 9.4713e-18  1.7143e-35 1.8036e-12
  200.4950 1.8652e-12 1.0459e-17  2.4325e-35 1.8652e-12
  201.5402 1.9280e-12 1.1537e-17  3.4386e-35 1.9280e-12
  202.5853 1.9921e-12 1.2711e-17  4.8429e-35 1.9921e-12
  203.6304 2.0573e-12 1.3988e-17  6.7958e-35 2.0573e-12
  204.6755 2.1238e-12 1.5377e-17  9.5021e-35 2.1238e-12
  205.7206 2.1915e-12 1.6886e-17  1.3239e-34 2.1915e-12
  206.7657 2.2604e-12 1.8522e-17  1.8382e-34 2.2605e-12
  207.8108 2.3306e-12 2.0296e-17  2.5435e-34 2.3306e-12
  208.8559 2.4019e-12 2.2216e-17  3.5075e-34 2.4019e-12
  209.9010 2.4744e-12 2.4293e-17  4.8209e-34 2.4745e-12
  210.9461 2.5482e-12 2.6538e-17  6.6044e-34 2.5482e-12
  211.9912 2.6231e-12 2.8961e-17  9.0187e-34 2.6231e-12
  213.0363 2.6991e-12 3.1574e-17  1.2276e-33 2.6992e-12
  214.0814 2.7764e-12 3.4390e-17  1.6658e-33 2.7764e-12
  215.1265 2.8548e-12 3.7422e-17  2.2535e-33 2.8549e-12
  216.1716 2.9344e-12 4.0683e-17  3.0393e-33 2.9344e-12
  217.2167 3.0151e-12 4.4188e-17  4.0867e-33 3.0152e-12
  218.2618 3.0970e-12 4.7951e-17  5.4790e-33 3.0970e-12
  219.3069 3.1800e-12 5.1988e-17  7.3243e-33 3.1800e-12
  220.3520 3.2641e-12 5.6315e-17  9.7629e-33 3.2641e-12
  221.3971 3.3493e-12 6.0950e-17  1.2977e-32 3.3494e-12
  222.4422 3.4356e-12 6.5910e-17  1.7201e-32 3.4357e-12
  223.4873 3.5230e-12 7.1213e-17  2.2737e-32 3.5231e-12
  224.5325 3.6115e-12 7.6879e-17  2.9974e-32 3.6115e-12
  225.5776 3.7010e-12 8.2929e-17  3.9410e-32 3.7011e-12
  226.6227 3.7916e-12 8.9382e-17  5.1679e-32 3.7917e-12
  227.6678 3.8832e-12 9.6261e-17  6.7593e-32 3.8833e-12
  228.7129 3.9758e-12 1.0359e-16  8.8181e-32 3.9759e-12
  229.7580 4.0695e-12 1.1139e-16  1.1475e-31 4.0696e-12
  230.8031 4.1641e-12 1.1968e-16  1.4895e-31 4.1642e-12
  231.8482 4.2597e-12 1.2850e-16  1.9288e-31 4.2599e-12
  232.8933 4.3563e-12 1.3786e-16  2.4915e-31 4.3565e-12
  233.9384 4.4539e-12 1.4780e-16  3.2107e-31 4.4540e-12
  234.9835 4.5523e-12 1.5835e-16  4.1279e-31 4.5525e-12
  236.0286 4.6518e-12 1.6952e-16  5.2947e-31 4.6519e-12
  237.0737 4.7521e-12 1.8135e-16  6.7757e-31 4.7522e-12
  238.1188 4.8533e-12 1.9388e-16  8.6514e-31 4.8535e-12
  239.1639 4.9554e-12 2.0714e-16  1.1022e-30 4.9556e-12
  240.2090 5.0583e-12 2.2115e-16  1.4011e-30 5.0585e-12
  241.2541 5.1621e-12 2.3595e-16  1.7772e-30 5.1623e-12
  242.2992 5.2667e-12 2.5158e-16  2.2494e-30 5.2670e-12
  243.3443 5.3721e-12 2.6807e-16  2.8410e-30 5.3724e-12
  244.3894 5.4784e-12 2.8546e-16  3.5808e-30 5.4786e-12
  245.4345 5.5854e-12 3.0378e-16  4.5039e-30 5.5857e-12
  246.4796 5.6931e-12 3.2309e-16  5.6535e-30 5.6935e-12
  247.5248 5.8016e-12 3.4341e-16  7.0822e-30 5.8020e-12
  248.5699 5.9109e-12 3.6479e-16  8.8545e-30 5.9112e-12
  249.6150 6.0208e-12 3.8728e-16  1.1049e-29 6.0212e-12
  250.6601 6.1315e-12 4.1091e-16  1.3760e-29 6.1319e-12
  251.7052 6.2428e-12 4.3572e-16  1.7103e-29 6.2432e-12
  252.7503 6.3548e-12 4.6177e-16  2.1220e-29 6.3552e-12
  253.7954 6.4674e-12 4.8911e-16  2.6278e-29 6.4679e-12
  254.8405 6.5807e-12 5.1777e-16  3.2481e-29 6.5812e-12
  255.8856 6.6945e-12 5.4782e-16  4.0077e-29 6.6951e-12
  256.9307 6.8090e-12 5.7929e-16  4.9360e-29 6.8095e-12
  257.9758 6.9240e-12 6.1224e-16  6.0686e-29 6.9246e-12
  259.0209 7.0395e-12 6.4673e-16  7.4481e-29 7.0402e-12
  260.0660 7.1557e-12 6.8280e-16  9.1253e-29 7.1563e-12
  261.1111 7.2723e-12 7.2051e-16  1.1161e-28 7.2730e-12
  262.1562 7.3894e-12 7.5992e-16  1.3628e-28 7.3902e-12
  263.2013 7.5070e-12 8.0108e-16  1.6613e-28 7.5078e-12
  264.2464 7.6251e-12 8.4406e-16  2.0218e-28 7.6259e-12
  265.2915 7.7436e-12 8.8890e-16  2.4566e-28 7.7445e-12
  266.3366 7.8626e-12 9.3568e-16  2.9800e-28 7.8635e-12
  267.3817 7.9820e-12 9.8444e-16  3.6093e-28 7.9829e-12
  268.4268 8.1017e-12 1.0353e-15  4.3646e-28 8.1028e-12
  269.4719 8.2219e-12 1.0882e-15  5.2697e-28 8.2230e-12
  270.5171 8.3424e-12 1.1433e-15  6.3529e-28 8.3435e-12
  271.5622 8.4632e-12 1.2007e-15  7.6470e-28 8.4644e-12
  272.6073 8.5844e-12 1.2603e-15  9.1911e-28 8.5857e-12
  273.6524 8.7059e-12 1.3224e-15  1.1031e-27 8.7072e-12
  274.6975 8.8277e-12 1.3869e-15  1.3219e-27 8.8291e-12
  275.7426 8.9497e-12 1.4539e-15  1.5819e-27 8.9512e-12
  276.7877 9.0721e-12 1.5235e-15  1.8903e-27 9.0736e-12
  277.8328 9.1946e-12 1.5958e-15  2.2556e-27 9.1962e-12
  278.8779 9.3174e-12 1.6707e-15  2.6878e-27 9.3191e-12
  279.9230 9.4404e-12 1.7485e-15  3.1984e-27 9.4422e-12
  280.9681 9.5636e-12 1.8292e-15  3.8008e-27 9.5654e-12
  282.0132 9.6870e-12 1.9128e-15  4.5106e-27 9.6889e-12
  283.0583 9.8105e-12 1.9994e-15  5.3458e-27 9.8125e-12
  284.1034 9.9342e-12 2.0892e-15  6.3273e-27 9.9363e-12
  285.1485 1.0058e-11 2.1821e-15  7.4792e-27 1.0060e-11
  286.1936 1.0182e-11 2.2783e-15  8.8295e-27 1.0184e-11
  287.2387 1.0306e-11 2.3778e-15  1.0410e-26 1.0308e-11
  288.2838 1.0430e-11 2.4807e-15  1.2259e-26 1.0432e-11
  289.3289 1.0554e-11 2.5871e-15  1.4417e-26 1.0557e-11
  290.3740 1.0678e-11 2.6971e-15  1.6935e-26 1.0681e-11
  291.4191 1.0803e-11 2.8107e-15  1.9868e-26 1.0805e-11
  292.4642 1.0927e-11 2.9281e-15  2.3282e-26 1.0930e-11
  293.5094 1.1051e-11 3.0493e-15  2.7249e-26 1.1054e-11
  294.5545 1.1175e-11 3.1744e-15  3.1854e-26 1.1179e-11
  295.5996 1.1300e-11 3.3035e-15  3.7194e-26 1.1303e-11
  296.6447 1.1424e-11 3.4366e-15  4.3380e-26 1.1427e-11
  297.6898 1.1548e-11 3.5739e-15  5.0536e-26 1.1552e-11
  298.7349 1.1672e-11 3.7155e-15  5.8807e-26 1.1676e-11
  299.7800 1.1796e-11 3.8613e-15  6.8355e-26 1.1800e-11
  300.8251 1.1920e-11 4.0116e-15  7.9365e-26 1.1924e-11
  301.8702 1.2044e-11 4.1664e-15  9.2048e-26 1.2048e-11
  302.9153 1.2168e-11 4.3257e-15  1.0664e-25 1.2172e-11
  303.9604 1.2291e-11 4.4898e-15  1.2342e-25 1.2296e-11
  305.0055 1.2415e-11 4.6586e-15  1.4268e-25 1.2419e-11
  306.0506 1.2538e-11 4.8322e-15  1.6478e-25 1.2543e-11
  307.0957 1.2661e-11 5.0108e-15  1.9010e-25 1.2666e-11
  308.1408 1.2784e-11 5.1943e-15  2.1909e-25 1.2789e-11
  309.1859 1.2907e-11 5.3830e-15  2.5224e-25 1.2912e-11
  310.2310 1.3029e-11 5.5769e-15  2.9011e-25 1.3035e-11
  311.2761 1.3152e-11 5.7761e-15  3.3334e-25 1.3158e-11
  312.3212 1.3274e-11 5.9806e-15  3.8264e-25 1.3280e-11
  313.3663 1.3396e-11 6.1906e-15  4.3879e-25 1.3402e-11
  314.4114 1.3517e-11 6.4062e-15  5.0271e-25 1.3524e-11
  315.4565 1.3639e-11 6.6274e-15  5.7538e-25 1.3645e-11
  316.5017 1.3760e-11 6.8543e-15  6.5793e-25 1.3767e-11
  317.5468 1.3881e-11 7.0870e-15  7.5162e-25 1.3888e-11
  318.5919 1.4001e-11 7.3256e-15  8.5786e-25 1.4008e-11
  319.6370 1.4121e-11 7.5703e-15  9.7822e-25 1.4129e-11
  320.6821 1.4241e-11 7.8210e-15  1.1145e-24 1.4249e-11
  321.7272 1.4361e-11 8.0778e-15  1.2685e-24 1.4369e-11
  322.7723 1.4480e-11 8.3409e-15  1.4426e-24 1.4488e-11
  323.8174 1.4599e-11 8.6104e-15  1.6391e-24 1.4607e-11
  324.8625 1.4717e-11 8.8863e-15  1.8607e-24 1.4726e-11
  325.9076 1.4835e-11 9.1687e-15  2.1105e-24 1.4845e-11
  326.9527 1.4953e-11 9.4576e-15  2.3918e-24 1.4963e-11
  327.9978 1.5071e-11 9.7533e-15  2.7083e-24 1.5080e-11
  329.0429 1.5188e-11 1.0056e-14  3.0641e-24 1.5198e-11
  330.0880 1.5304e-11 1.0365e-14  3.4637e-24 1.5315e-11
  331.1331 1.5420e-11 1.0681e-14  3.9122e-24 1.5431e-11
  332.1782 1.5536e-11 1.1004e-14  4.4152e-24 1.5547e-11
  333.2233 1.5652e-11 1.1335e-14  4.9789e-24 1.5663e-11
  334.2684 1.5767e-11 1.1672e-14  5.6100e-24 1.5778e-11
  335.3135 1.5881e-11 1.2017e-14  6.3161e-24 1.5893e-11
  336.3586 1.5995e-11 1.2369e-14  7.1055e-24 1.6007e-11
  337.4037 1.6109e-11 1.2729e-14  7.9874e-24 1.6121e-11
  338.4488 1.6222e-11 1.3096e-14  8.9717e-24 1.6235e-11
  339.4939 1.6334e-11 1.3471e-14  1.0070e-23 1.6348e-11
  340.5391 1.6447e-11 1.3853e-14  1.1294e-23 1.6461e-11
  341.5842 1.6558e-11 1.4243e-14  1.2657e-23 1.6573e-11
  342.6293 1.6670e-11 1.4641e-14  1.4174e-23 1.6684e-11
  343.6744 1.6780e-11 1.5047e-14  1.5861e-23 1.6795e-11
  344.7195 1.6891e-11 1.5461e-14  1.7736e-23 1.6906e-11
  345.7646 1.7000e-11 1.5882e-14  1.9819e-23 1.7016e-11
  346.8097 1.7110e-11 1.6312e-14  2.2130e-23 1.7126e-11
  347.8548 1.7218e-11 1.6750e-14  2.4694e-23 1.7235e-11
  348.8999 1.7326e-11 1.7197e-14  2.7535e-23 1.7344e-11
  349.9450 1.7434e-11 1.7652e-14  3.0681e-23 1.7452e-11
  350.9901 1.7541e-11 1.8115e-14  3.4164e-23 1.7559e-11
  352.0352 1.7648e-11 1.8586e-14  3.8016e-23 1.7666e-11
  353.0803 1.7754e-11 1.9066e-14  4.2274e-23 1.7773e-11
  354.1254 1.7859e-11 1.9555e-14  4.6977e-23 1.7879e-11
  355.1705 1.7964e-11 2.0053e-14  5.2168e-23 1.7984e-11
  356.2156 1.8069e-11 2.0559e-14  5.7896e-23 1.8089e-11
  357.2607 1.8172e-11 2.1074e-14  6.4210e-23 1.8193e-11
  358.3058 1.8276e-11 2.1597e-14  7.1166e-23 1.8297e-11
  359.3509 1.8378e-11 2.2130e-14  7.8826e-23 1.8400e-11
  360.3960 1.8480e-11 2.2672e-14  8.7255e-23 1.8503e-11
  361.4411 1.8582e-11 2.3223e-14  9.6525e-23 1.8605e-11
  362.4862 1.8683e-11 2.3782e-14  1.0671e-22 1.8706e-11
  363.5314 1.8783e-11 2.4351e-14  1.1790e-22 1.8807e-11
  364.5765 1.8883e-11 2.4930e-14  1.3019e-22 1.8908e-11
  365.6216 1.8982e-11 2.5517e-14  1.4366e-22 1.9007e-11
  366.6667 1.9080e-11 2.6114e-14  1.5844e-22 1.9107e-11
  367.7118 1.9178e-11 2.6720e-14  1.7463e-22 1.9205e-11
  368.7569 1.9276e-11 2.7335e-14  1.9236e-22 1.9303e-11
  369.8020 1.9372e-11 2.7960e-14  2.1177e-22 1.9400e-11
  370.8471 1.9469e-11 2.8595e-14  2.3300e-22 1.9497e-11
  371.8922 1.9564e-11 2.9239e-14  2.5621e-22 1.9593e-11
  372.9373 1.9659e-11 2.9893e-14  2.8157e-22 1.9689e-11
  373.9824 1.9753e-11 3.0556e-14  3.0926e-22 1.9784e-11
  375.0275 1.9847e-11 3.1229e-14  3.3949e-22 1.9878e-11
  376.0726 1.9940e-11 3.1912e-14  3.7247e-22 1.9972e-11
  377.1177 2.0032e-11 3.2604e-14  4.0843e-22 2.0065e-11
  378.1628 2.0124e-11 3.3306e-14  4.4761e-22 2.0157e-11
  379.2079 2.0215e-11 3.4018e-14  4.9028e-22 2.0249e-11
  380.2530 2.0306e-11 3.4740e-14  5.3674e-22 2.0341e-11
  381.2981 2.0396e-11 3.5472e-14  5.8728e-22 2.0431e-11
  382.3432 2.0485e-11 3.6214e-14  6.4224e-22 2.0521e-11
  383.3883 2.0574e-11 3.6966e-14  7.0197e-22 2.0611e-11
  384.4334 2.0662e-11 3.7728e-14  7.6686e-22 2.0699e-11
  385.4785 2.0749e-11 3.8499e-14  8.3732e-22 2.0787e-11
  386.5237 2.0836e-11 3.9281e-14  9.1378e-22 2.0875e-11
  387.5688 2.0922e-11 4.0073e-14  9.9672e-22 2.0962e-11
  388.6139 2.1007e-11 4.0875e-14  1.0866e-21 2.1048e-11
  389.6590 2.1092e-11 4.1687e-14  1.1841e-21 2.1134e-11
  390.7041 2.1176e-11 4.2509e-14  1.2896e-21 2.1219e-11
  391.7492 2.1260e-11 4.3342e-14  1.4039e-21 2.1303e-11
  392.7943 2.1342e-11 4.4184e-14  1.5275e-21 2.1387e-11
  393.8394 2.1425e-11 4.5037e-14  1.6612e-21 2.1470e-11
  394.8845 2.1506e-11 4.5900e-14  1.8058e-21 2.1552e-11
  395.9296 2.1587e-11 4.6773e-14  1.9620e-21 2.1634e-11
  396.9747 2.1667e-11 4.7657e-14  2.1307e-21 2.1715e-11
  398.0198 2.1747e-11 4.8550e-14  2.3128e-21 2.1796e-11
  399.0649 2.1826e-11 4.9454e-14  2.5094e-21 2.1876e-11
  400.1100 2.1904e-11 5.0368e-14  2.7214e-21 2.1955e-11
  401.1551 2.1982e-11 5.1293e-14  2.9499e-21 2.2033e-11
  402.2002 2.2059e-11 5.2227e-14  3.1962e-21 2.2111e-11
  403.2453 2.2136e-11 5.3172e-14  3.4615e-21 2.2189e-11
  404.2904 2.2211e-11 5.4127e-14  3.7472e-21 2.2266e-11
  405.3355 2.2287e-11 5.5093e-14  4.0546e-21 2.2342e-11
  406.3806 2.2361e-11 5.6068e-14  4.3854e-21 2.2417e-11
  407.4257 2.2435e-11 5.7054e-14  4.7410e-21 2.2492e-11
  408.4708 2.2508e-11 5.8051e-14  5.1233e-21 2.2566e-11
  409.5160 2.2581e-11 5.9057e-14  5.5341e-21 2.2640e-11
  410.5611 2.2653e-11 6.0074e-14  5.9752e-21 2.2713e-11
  411.6062 2.2724e-11 6.1101e-14  6.4488e-21 2.2785e-11
  412.6513 2.2795e-11 6.2138e-14  6.9570e-21 2.2857e-11
  413.6964 2.2865e-11 6.3185e-14  7.5021e-21 2.2928e-11
  414.7415 2.2934e-11 6.4243e-14  8.0866e-21 2.2998e-11
  415.7866 2.3003e-11 6.5310e-14  8.7131e-21 2.3068e-11
  416.8317 2.3071e-11 6.6388e-14  9.3843e-21 2.3137e-11
  417.8768 2.3138e-11 6.7476e-14  1.0103e-20 2.3206e-11
  418.9219 2.3205e-11 6.8575e-14  1.0873e-20 2.3274e-11
  419.9670 2.3271e-11 6.9683e-14  1.1696e-20 2.3341e-11
  421.0121 2.3337e-11 7.0801e-14  1.2577e-20 2.3407e-11
  422.0572 2.3402e-11 7.1930e-14  1.3519e-20 2.3474e-11
  423.1023 2.3466e-11 7.3068e-14  1.4526e-20 2.3539e-11
  424.1474 2.3530e-11 7.4217e-14  1.5602e-20 2.3604e-11
  425.1925 2.3593e-11 7.5375e-14  1.6752e-20 2.3668e-11
  426.2376 2.3655e-11 7.6544e-14  1.7979e-20 2.3732e-11
  427.2827 2.3717e-11 7.7722e-14  1.9289e-20 2.3794e-11
  428.3278 2.3778e-11 7.8910e-14  2.0686e-20 2.3857e-11
  429.3729 2.3838e-11 8.0109e-14  2.2177e-20 2.3919e-11
